ID,Name,Owner,Mailing_Address,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat
1,0109 Dessert + Chocolate,Candi Gibson,"2190 MCNICOLL AVE, -109",9133516839,5399356418,ijxcmnlzu@zn.syh,pgNzlWPRUmSdO @ lza .com,11-20 years,N,"Lease, want to purchase",39,18,8,114,60,91,Y,N,Y,N,Greek,Y,High-end,655472,4338,2327,18697,3381,66,N,0,-79.29491,43.81477
2,100% SALVA DO RENO,Josh Lockman,612 TRETHEWEY DR,7355943421,6794588942,qpycmo@vw.zgs,4GOTIFXJibWiA @ ncd .com,Under 1 year,Y,Lease,57,4,29,131,9,79,Y,Y,N,N,Others,Y,Average,478356,263311,333567,19396,2279,13525,Y,5,-79.4942,43.69724
3,1011 SIP TEA,Shanta Brown,635A BLOOR ST W,1828239281,9852685617,pbjeahto@c.vtw,y76VjKOTLvpKS @ qkh .com,6-10 years,N,Own,62,18,8,112,14,93,N,Y,N,N,Others,Y,Average,463358,150847,180352,19650,8574,7648,Y,4,-79.41461,43.66426
4,12 TABLES,Javier Pfannerstill,1552 AVENUE RD,7626124597,1388726743,lgpuheqc@pucwiv.tyv,2dpc9go208HjZ @ rnl .com,11-20 years,N,Lease,50,9,4,78,69,84,Y,Y,N,Y,Italian,Y,Low-end,168160,47819,49666,6818,4582,2013,N,0,-79.41635,43.72334
5,120 DINER,Angie Williamson,120 CHURCH ST,6425291532,3814972761,fjizd@lqxdot.now,h2GMnI0V0UgF8 @ wyj .com,Over 20 years,Y,Lease,14,3,6,158,41,80,N,Y,Y,N,Mexican,N,Average,416239,139257,148227,12719,2946,4529,N,0,-79.37553,43.65217
6,1810 DANFORTH AVENUE SOCIAL CLUB,Fannie Ziemann,1810 DANFORTH AVE,9746473671,2458347195,dnbpykxg@ia.xzi,ixHxomEiSN4uJ @ tgs .com,1-5 years,N,"Lease, want to purchase",20,11,42,159,31,77,Y,Y,N,Y,Italian,Y,Average,487209,148227,254112,9834,2725,5129,Y,1,-79.31856,43.68467
7,1858 CAFE,Serena Torphy,22 ADELAIDE ST W,7189527416,6496417826,wzi@sptowf.nme,NA,Under 1 year,Y,Own,31,4,1,154,32,95,Y,Y,Y,N,Japanese,Y,Average,181102,48568,118123,7061,300,4605,Y,1,-79.37994,43.65012
8,1915 LANZHOU RAMEN,Ji Bins,185 DUNDAS ST W,5142815321,8549685278,hcdlv@mrildhy.ybq,XJp6Y89G1N3rw @ dta .com,6-10 years,N,Lease,33,17,6,112,55,74,Y,Y,N,N,Mexican,Y,Average,476600,233355,249763,17012,4595,8915,Y,4,-79.38665,43.655
9,19TH HOLE GRILL,Edwin Bashirian,550 CENTENNIAL PARK BLVD,5217497513,1526728621,xhat@rmqd.xhq,J62Jnqs1dUJWX @ oho .com,11-20 years,N,Own,27,9,14,121,14,89,Y,Y,Y,N,Italian,Y,Average,512014,14988,16783,16011,426,524,N,0,-79.59756,43.65196
10,19TH HOLE SPORTS BAR AND GRILL,Leopoldo Ryan,434 ROGERS RD,3871954123,1467149421,udy@fmwreshagp.vus,ey80Oc8wWvwH4 @ mkv .com,1-5 years,N,"Lease, want to purchase",37,3,50,167,68,60,Y,Y,N,N,Thai,N,High-end,533727,23107,341178,22635,3879,14469,Y,1,-79.46394,43.68279
